unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9080148172535,,,,,,,,,,99.6333,-65.694756,-7.5153437,,,,,,,,,,,,,,,,,,
9080163278736,-1.6920929,8.313522,4.9897614,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080163278736,,,,,,,,,,,,,-10.536194,-1.2039185,2.5039673,,,,,,,,,,,,,,,
9080168008961,,,,-0.3514675,-0.46046162,1.0063028,,,,,,,,,,,,,,,,,,,,,,,,
9080163278736,,,,,,,-0.07156372,-0.03491211,0.07034302,,,,,,,,,,,,,,,,,,,,,
9080168008961,,,,,,,,,,99.64859,-65.31529,-7.542066,,,,,,,,,,,,,,,,,,
9080183420338,-1.3323517,8.281708,5.4793396,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080187875904,,,,0.010591149,-0.4719553,1.4898415,,,,,,,,,,,,,,,,,,,,,,,,
9080183420338,,,,,,,,,,,,,-11.961365,-2.11792,0.34179688,,,,,,,,,,,,,,,
9080183420338,,,,,,,-0.0922699,-0.10798645,0.077804565,,,,,,,,,,,,,,,,,,,,,
9080187875904,,,,,,,,,,99.74609,-64.78965,-7.409455,,,,,,,,,,,,,,,,,,
9080203561939,-1.2840576,8.098114,5.6389313,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080203561939,,,,,,,-0.026138306,-0.08508301,0.06706238,,,,,,,,,,,,,,,,,,,,,
9080203561939,,,,,,,,,,,,,-11.976624,-1.4511108,0.8834839,,,,,,,,,,,,,,,
9080207712330,,,,-0.05506432,-0.6620903,1.4556327,,,,,,,,,,,,,,,,,,,,,,,,
9080207712330,,,,,,,,,,99.8537,-64.31047,-7.3013244,,,,,,,,,,,,,,,,,,
9080216989674,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080223703541,-1.2421265,8.0325775,5.1035004,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080227518238,,,,-0.0035618544,-0.66149426,0.7533746,,,,,,,,,,,,,,,,,,,,,,,,
9080223703541,,,,,,,0.035308838,0.013809204,0.06588745,,,,,,,,,,,,,,,,,,,,,
9080223703541,,,,,,,,,,,,,-11.871338,-1.2039185,1.1917114,,,,,,,,,,,,,,,
9080227518238,,,,,,,,,,99.86444,-64.0948,-7.233923,,,,,,,,,,,,,,,,,,
9080243845142,-1.0145569,8.352722,4.492523,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080243845142,,,,,,,,,,,,,-10.224915,-1.2039185,0.92315674,,,,,,,,,,,,,,,
9080243845142,,,,,,,0.01576233,0.07449341,0.054000854,,,,,,,,,,,,,,,,,,,,,
9080247385181,,,,0.2433362,-0.25969315,0.16728115,,,,,,,,,,,,,,,,,,,,,,,,
9080247385181,,,,,,,,,,99.77954,-64.07475,-7.15091,,,,,,,,,,,,,,,,,,
9080250559009,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080263986744,-0.94395447,8.614685,4.5737305,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080263986744,,,,,,,-0.08383179,0.0463562,0.017318726,,,,,,,,,,,,,,,,,,,,,
9080263986744,,,,,,,,,,,,,-9.867859,-0.64086914,0.58898926,,,,,,,,,,,,,,,
9080267191090,,,,,,,,,,99.70801,-63.95383,-7.0870013,,,,,,,,,,,,,,,,,,
9080267191090,,,,0.26162314,-0.027010918,0.36801338,,,,,,,,,,,,,,,,,,,,,,,,
9080284128345,-1.4832001,8.485245,4.664337,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080284128345,,,,,,,,,,,,,-9.867859,-0.53100586,0.5355835,,,,,,,,,,,,,,,
9080284128345,,,,,,,-0.1409607,0.066589355,-0.021118164,,,,,,,,,,,,,,,,,,,,,
9080287058033,,,,-0.3570392,-0.20392036,0.39739132,,,,,,,,,,,,,,,,,,,,,,,,
9080287058033,,,,,,,,,,99.66464,-63.72025,-7.2003293,,,,,,,,,,,,,,,,,,
9080304269947,-1.1745148,8.392426,4.483795,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080306894459,,,,0.11275971,-0.25632,0.15105724,,,,,,,,,,,,,,,,,,,,,,,,
9080304269947,,,,,,,-0.12919617,0.060195923,-0.022003174,,,,,,,,,,,,,,,,,,,,,
9080304269947,,,,,,,,,,,,,-10.302734,-0.970459,0.10986328,,,,,,,,,,,,,,,
9080306894459,,,,,,,,,,99.61505,-63.5185,-7.2383814,,,,,,,,,,,,,,,,,,
9080284128345,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080324411549,-1.1551514,8.605484,4.322403,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080324411549,,,,,,,-0.06222534,-0.035827637,-0.06185913,,,,,,,,,,,,,,,,,,,,,
9080324411549,,,,,,,,,,,,,-10.221863,-0.59051514,1.3473511,,,,,,,,,,,,,,,
9080326730884,,,,0.0707351,0.0046195984,-0.013729572,,,,,,,,,,,,,,,,,,,,,,,,
9080326730884,,,,,,,,,,99.63208,-63.41691,-7.271809,,,,,,,,,,,,,,,,,,
9080317697681,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080344553150,-1.194931,8.799667,3.9477081,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080344553150,,,,,,,-0.003829956,-0.18843079,-0.09793091,,,,,,,,,,,,,,,,,,,,,
9080344553150,,,,,,,,,,,,,-10.202026,-0.53100586,1.5197754,,,,,,,,,,,,,,,
9080346567310,,,,0.035080194,0.18600559,-0.4052906,,,,,,,,,,,,,,,,,,,,,,,,
9080346567310,,,,,,,,,,99.796265,-63.453617,-7.286726,,,,,,,,,,,,,,,,,,
9080366403736,,,,-0.314669,-0.04114628,0.015676498,,,,,,,,,,,,,,,,,,,,,,,,
9080364694752,-1.5207367,8.605103,4.303238,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080364694752,,,,,,,,,,,,,-10.202026,-1.4541626,0.6210327,,,,,,,,,,,,,,,
9080364694752,,,,,,,-0.052856445,-0.3477478,-0.09359741,,,,,,,,,,,,,,,,,,,,,
9080366403736,,,,,,,,,,100.13666,-63.37224,-7.3015947,,,,,,,,,,,,,,,,,,
9080351267017,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080384836353,-1.3652954,7.905945,4.382599,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080384836353,,,,,,,-0.13145447,-0.37417603,-0.024368286,,,,,,,,,,,,,,,,,,,,,
9080386240162,,,,-0.13272941,-0.73906326,0.034174442,,,,,,,,,,,,,,,,,,,,,,,,
9080386240162,,,,,,,,,,100.548584,-63.142513,-7.209152,,,,,,,,,,,,,,,,,,
9080384836353,,,,,,,,,,,,,-9.738159,-1.3839722,0.0793457,,,,,,,,,,,,,,,
9080384836353,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080404977955,-0.6878357,7.5664215,4.7882843,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080406076588,,,,0.51754296,-0.9987478,0.40896273,,,,,,,,,,,,,,,,,,,,,,,,
9080406076588,,,,,,,,,,100.90387,-62.74867,-6.916785,,,,,,,,,,,,,,,,,,
9080404977955,,,,,,,-0.2167511,-0.33277893,0.078704834,,,,,,,,,,,,,,,,,,,,,
9080404977955,,,,,,,,,,,,,-9.701538,-1.3717651,0.04425049,,,,,,,,,,,,,,,
9080425119556,-0.58265686,8.191666,4.6450653,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080425119556,,,,,,,,,,,,,-9.3811035,-1.0498047,1.6189575,,,,,,,,,,,,,,,
9080425119556,,,,,,,-0.26039124,-0.26159668,0.051635742,,,,,,,,,,,,,,,,,,,,,
9080425913013,,,,0.5334805,-0.30134106,0.18222094,,,,,,,,,,,,,,,,,,,,,,,,
9080425913013,,,,,,,,,,101.171326,-62.390186,-6.605428,,,,,,,,,,,,,,,,,,
9080418405689,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080445261158,-0.8942108,8.671402,5.031006,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080445261158,,,,,,,-0.29727173,-0.39770508,-0.01713562,,,,,,,,,,,,,,,,,,,,,
9080445840992,,,,0.17251587,0.18460274,0.51738834,,,,,,,,,,,,,,,,,,,,,,,,
9080445261158,,,,,,,,,,,,,-9.529114,-1.5258789,1.5258789,,,,,,,,,,,,,,,
9080445840992,,,,,,,,,,101.50314,-61.970318,-6.37633,,,,,,,,,,,,,,,,,,
9080451975025,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080465402759,-0.88713074,9.050507,6.153534,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080465402759,,,,,,,-0.3829956,-0.552124,-0.047729492,,,,,,,,,,,,,,,,,,,,,
9080465402759,,,,,,,,,,,,,-9.533691,-1.5396118,1.5197754,,,,,,,,,,,,,,,
9080465585865,,,,,,,,,,102.01227,-61.3536,-6.1068835,,,,,,,,,,,,,,,,,,
9080465585865,,,,0.14744973,0.56913185,1.5289392,,,,,,,,,,,,,,,,,,,,,,,,
9080485452808,,,,-0.07845318,0.1955986,2.580974,,,,,,,,,,,,,,,,,,,,,,,,
9080485452808,,,,,,,,,,102.60181,-60.52549,-5.9012976,,,,,,,,,,,,,,,,,,
9080485544361,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080485544361,-1.0852509,8.642838,7.356735,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080505289234,,,,-0.74381673,-1.1430893,2.0109673,,,,,,,,,,,,,,,,,,,,,,,,
9080485544361,,,,,,,-0.36050415,-0.47579956,-0.13349915,,,,,,,,,,,,,,,,,,,,,
9080485544361,,,,,,,,,,,,,-10.202026,-0.87127686,3.8070679,,,,,,,,,,,,,,,
9080505289234,,,,,,,,,,103.088104,-59.811863,-5.9346385,,,,,,,,,,,,,,,,,,
9080519113697,,,,,,,,,,,,,,,,,,,,,,,1024.8567,,,,,,,
9080505685963,-1.7219238,7.261551,6.8644867,,,,,,,,,,,,,,,,,,,,,,,,,,,
9080525125660,,,,0.78408325,-0.6419544,0.47102642,,,,,,,,,,,,,,,,,,,,,,,,
9080505685963,,,,,,,-0.17338562,-0.300766,-0.14190674,,,,,,,,,,,,,,,,,,,,,
9080505685963,,,,,,,,,,,,,-10.202026,-1.5396118,1.1917114,,,,,,,,,,,,,,,
