unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
9293244322056,,,,-0.48728085,-1.1102457,1.9068656,,,,,,,,,,,,,,,,,,,,,,,,
9293244322056,,,,,,,,,,339.99982,-51.665764,-14.938838,,,,,,,,,,,,,,,,,,
9293262357944,-3.0170135,6.2349854,6.8668213,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293262357944,,,,,,,,,,,,,4.0405273,17.19513,-8.772278,,,,,,,,,,,,,,,
9293262357944,,,,,,,0.14987183,0.07536316,0.07046509,,,,,,,,,,,,,,,,,,,,,
9293264188999,,,,-0.59869146,-0.8065033,1.1788778,,,,,,,,,,,,,,,,,,,,,,,,
9293248930210,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293264188999,,,,,,,,,,339.9694,-51.49686,-15.061937,,,,,,,,,,,,,,,,,,
9293282499546,-2.969986,6.4792786,6.6986084,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293282499546,,,,,,,,,,,,,3.8253784,17.630005,-8.651733,,,,,,,,,,,,,,,
9293284025425,,,,-0.5149958,-0.56505156,1.0474362,,,,,,,,,,,,,,,,,,,,,,,,
9293282499546,,,,,,,0.05670166,0.1275177,0.08691406,,,,,,,,,,,,,,,,,,,,,
9293284025425,,,,,,,,,,339.9102,-51.376953,-15.164506,,,,,,,,,,,,,,,,,,
9293282499546,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293302641147,-3.0341797,6.7382965,7.029022,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293302641147,,,,,,,-0.029266357,0.047058105,0.074645996,,,,,,,,,,,,,,,,,,,,,
9293302641147,,,,,,,,,,,,,3.8253784,16.053772,-9.265137,,,,,,,,,,,,,,,
9293303892368,,,,-0.5700879,-0.30190945,1.3656721,,,,,,,,,,,,,,,,,,,,,,,,
9293303892368,,,,,,,,,,339.8735,-51.13776,-15.238627,,,,,,,,,,,,,,,,,,
9293322782749,-3.1657715,6.983444,7.4643707,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293322782749,,,,,,,,,,,,,4.6188354,14.826965,-10.4019165,,,,,,,,,,,,,,,
9293323728794,,,,-0.69413614,-0.05997038,1.7334495,,,,,,,,,,,,,,,,,,,,,,,,
9293323728794,,,,,,,,,,339.97968,-50.810955,-15.228945,,,,,,,,,,,,,,,,,,
9293322782749,,,,,,,-0.018234253,-0.11727905,0.06867981,,,,,,,,,,,,,,,,,,,,,
9293316068882,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293342924350,-3.1951294,7.024811,7.5218353,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293342924350,,,,,,,,,,,,,4.660034,14.772034,-10.456848,,,,,,,,,,,,,,,
9293342924350,,,,,,,-0.012252808,-0.17785645,0.049850464,,,,,,,,,,,,,,,,,,,,,
9293343595737,,,,-0.7196336,-0.029256344,1.7051754,,,,,,,,,,,,,,,,,,,,,,,,
9293343595737,,,,,,,,,,340.1761,-50.489613,-15.1519375,,,,,,,,,,,,,,,,,,
9293349638218,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293363065952,-3.0726624,6.3025665,8.625488,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293363523716,,,,-0.6065626,-0.7507405,2.737908,,,,,,,,,,,,,,,,,,,,,,,,
9293363065952,,,,,,,0.014007568,-0.12542725,0.16191101,,,,,,,,,,,,,,,,,,,,,
9293363523716,,,,,,,,,,340.4186,-49.95539,-15.00239,,,,,,,,,,,,,,,,,,
9293363065952,,,,,,,,,,,,,4.496765,15.9210205,-8.692932,,,,,,,,,,,,,,,
9293383207554,-2.2157593,6.768158,7.641266,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293383207554,,,,,,,,,,,,,6.6497803,14.778137,-9.141541,,,,,,,,,,,,,,,
9293383207554,,,,,,,0.21418762,0.07435608,0.24205017,,,,,,,,,,,,,,,,,,,,,
9293383207554,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293383329624,,,,0.21481776,-0.27973127,1.6837702,,,,,,,,,,,,,,,,,,,,,,,,
9293383329624,,,,,,,,,,340.38672,-49.83436,-14.727213,,,,,,,,,,,,,,,,,,
9293403166050,,,,1.0621574,0.21196651,0.592422,,,,,,,,,,,,,,,,,,,,,,,,
9293403166050,,,,,,,,,,340.12244,-50.1247,-14.330671,,,,,,,,,,,,,,,,,,
9293403349155,-1.3003235,7.31369,6.5208435,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293423032993,,,,1.0974936,0.40874577,0.33489895,,,,,,,,,,,,,,,,,,,,,,,,
9293403349155,,,,,,,0.2986908,0.008285522,0.25164795,,,,,,,,,,,,,,,,,,,,,
9293423032993,,,,,,,,,,339.9348,-50.365067,-13.978771,,,,,,,,,,,,,,,,,,
9293403349155,,,,,,,,,,,,,6.640625,14.752197,-9.132385,,,,,,,,,,,,,,,
9293423490757,-1.2394257,7.5348206,6.2737427,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293423490757,,,,,,,,,,,,,4.359436,12.811279,-7.826233,,,,,,,,,,,,,,,
9293442869419,,,,-0.1448164,-0.21819592,1.3353925,,,,,,,,,,,,,,,,,,,,,,,,
9293423490757,,,,,,,0.05770874,0.006958008,0.080078125,,,,,,,,,,,,,,,,,,,,,
9293416776890,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293442869419,,,,,,,,,,339.9756,-50.110554,-13.9650955,,,,,,,,,,,,,,,,,,
9293443632358,-2.486847,6.8820343,7.322159,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293443632358,,,,,,,,,,,,,5.8288574,15.275574,-7.6675415,,,,,,,,,,,,,,,
9293443632358,,,,,,,-0.1530304,-0.0072784424,-0.058181763,,,,,,,,,,,,,,,,,,,,,
9293462705845,,,,-0.9298942,-0.94104195,1.9736714,,,,,,,,,,,,,,,,,,,,,,,,
9293462705845,,,,,,,,,,340.05975,-49.55947,-14.0973625,,,,,,,,,,,,,,,,,,
9293450346225,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293463773960,-3.210907,6.1380005,8.019028,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293463773960,,,,,,,-0.14837646,-0.074020386,-0.01272583,,,,,,,,,,,,,,,,,,,,,
9293463773960,,,,,,,,,,,,,5.6762695,15.211487,-7.746887,,,,,,,,,,,,,,,
9293482572788,,,,0.10446477,-0.9900284,2.0466666,,,,,,,,,,,,,,,,,,,,,,,,
9293482572788,,,,,,,,,,340.12808,-49.054966,-13.98083,,,,,,,,,,,,,,,,,,
9293483915561,-2.2319183,6.075897,8.089355,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293483915561,,,,,,,-0.07800293,-0.033081055,0.098739624,,,,,,,,,,,,,,,,,,,,,
9293483915561,,,,,,,,,,,,,3.0914307,14.31427,-9.066772,,,,,,,,,,,,,,,
9293483915561,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293502439731,,,,-0.117061615,-0.6582737,0.98959684,,,,,,,,,,,,,,,,,,,,,,,,
9293502439731,,,,,,,,,,340.19257,-48.840046,-13.914519,,,,,,,,,,,,,,,,,,
9293504057163,-2.4381866,6.3265686,7.0714264,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293504057163,,,,,,,,,,,,,4.4937134,17.294312,-7.9956055,,,,,,,,,,,,,,,
9293504057163,,,,,,,0.012008667,0.031661987,0.069610596,,,,,,,,,,,,,,,,,,,,,
9293522276157,,,,-0.2194066,-1.1495109,0.23314905,,,,,,,,,,,,,,,,,,,,,,,,
9293522276157,,,,,,,,,,340.1544,-48.7083,-13.968027,,,,,,,,,,,,,,,,,,
9293517484897,,,,,,,,,,,,,,,,,,,,,,,1024.6318,,,,,,,
9293524198765,-2.5464783,5.846039,6.3943634,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293524198765,,,,,,,-0.02444458,0.060424805,0.008987427,,,,,,,,,,,,,,,,,,,,,
9293524198765,,,,,,,,,,,,,4.508972,17.016602,-8.074951,,,,,,,,,,,,,,,
9293542143100,,,,-0.30385184,-1.1546221,0.3633995,,,,,,,,,,,,,,,,,,,,,,,,
9293542143100,,,,,,,,,,340.11404,-48.50631,-14.098183,,,,,,,,,,,,,,,,,,
9293544340366,-2.6391907,5.794983,6.4970093,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293544340366,,,,,,,,,,,,,4.4921875,14.7872925,-8.906555,,,,,,,,,,,,,,,
9293544340366,,,,,,,-0.090164185,0.12220764,-0.009887695,,,,,,,,,,,,,,,,,,,,,
9293561979526,,,,-0.28018856,-1.2432771,0.11634922,,,,,,,,,,,,,,,,,,,,,,,,
9293561979526,,,,,,,,,,340.0416,-48.291553,-14.286818,,,,,,,,,,,,,,,,,,
9293551054233,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293564481968,-2.6448975,5.6749725,6.30542,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293581846470,,,,-0.28106356,-1.2289925,0.2624302,,,,,,,,,,,,,,,,,,,,,,,,
9293564481968,,,,,,,,,,,,,3.1570435,17.630005,-9.635925,,,,,,,,,,,,,,,
9293564481968,,,,,,,-0.09313965,0.14938354,-0.029968262,,,,,,,,,,,,,,,,,,,,,
9293581846470,,,,,,,,,,340.06146,-48.052948,-14.48179,,,,,,,,,,,,,,,,,,
9293584623569,,,,,,,,,,,,,,,,,,,,,,,1024.6344,,,,,,,
9293584623569,-2.655899,5.672287,6.509369,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293601713413,,,,-0.1614132,-1.0317554,0.6988554,,,,,,,,,,,,,,,,,,,,,,,,
9293584623569,,,,,,,-0.104904175,0.11268616,-0.0315094,,,,,,,,,,,,,,,,,,,,,
9293601713413,,,,,,,,,,340.13474,-47.779423,-14.612655,,,,,,,,,,,,,,,,,,
9293584623569,,,,,,,,,,,,,3.1326294,17.558289,-9.796143,,,,,,,,,,,,,,,
9293604765171,-2.5834198,5.7729187,6.8711395,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293621580356,,,,-0.23323536,-1.2320981,0.45129013,,,,,,,,,,,,,,,,,,,,,,,,
9293604765171,,,,,,,,,,,,,2.9907227,17.074585,-10.986328,,,,,,,,,,,,,,,
9293604765171,,,,,,,-0.08242798,0.058502197,-0.036819458,,,,,,,,,,,,,,,,,,,,,
9293618192905,,,,,,,,,,,,,,,,,,,,,,,1024.6368,,,,,,,
9293621580356,,,,,,,,,,340.27478,-47.545326,-14.732379,,,,,,,,,,,,,,,,,,
9293624906772,-2.6519775,5.61615,6.60466,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293624906772,,,,,,,,,,,,,2.9907227,16.789246,-12.097168,,,,,,,,,,,,,,,
9293624906772,,,,,,,-0.03164673,0.012680054,-0.04550171,,,,,,,,,,,,,,,,,,,,,
9293641416782,,,,-0.18831944,-0.93926144,0.023169994,,,,,,,,,,,,,,,,,,,,,,,,
9293641416782,,,,,,,,,,340.46216,-47.41483,-14.811007,,,,,,,,,,,,,,,,,,
9293645048374,-2.619217,5.814987,6.3420715,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520544689,,,,,,,,,,,,,,,,52.4924948,13.3886401,0.0,0.0,0.0,500.0,500.0,,,,,,,,
9293645048374,,,,,,,,,,,,,2.9907227,17.095947,-11.856079,,,,,,,,,,,,,,,
9293661283725,,,,-0.16857839,-1.036128,0.49750662,,,,,,,,,,,,,,,,,,,,,,,,
9293661283725,,,,,,,,,,340.73944,-47.206917,-14.842873,,,,,,,,,,,,,,,,,,
9293645048374,,,,,,,-0.022491455,-0.050704956,-0.049575806,,,,,,,,,,,,,,,,,,,,,
9293665189975,-2.5737762,5.681946,6.8612823,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293681150669,,,,-0.010933399,-1.1562057,1.0577121,,,,,,,,,,,,,,,,,,,,,,,,
9293681150669,,,,,,,,,,341.07727,-46.921665,-14.820582,,,,,,,,,,,,,,,,,,
9293665189975,,,,,,,,,,,,,3.022766,18.10608,-10.816956,,,,,,,,,,,,,,,
9293665189975,,,,,,,-0.039733887,-0.107559204,-0.07661438,,,,,,,,,,,,,,,,,,,,,
9293651762241,,,,,,,,,,,,,,,,,,,,,,,1024.6268,,,,,,,
9293685331577,-2.4572754,5.5254364,7.248657,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293685331577,,,,,,,-9.1552734E-5,-0.13116455,-0.08206177,,,,,,,,,,,,,,,,,,,,,
9293685331577,,,,,,,,,,,,,3.1570435,16.621399,-10.948181,,,,,,,,,,,,,,,
