unix_time,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
11815921188314,,,,,,,0.010894775,-0.016433716,0.23442078,,,,,,,,,,,,,,,,,,,,,
11815926956136,,,,-0.83085847,0.31640244,1.5080099,,,,,,,,,,,,,,,,,,,,,,,,
11815926956136,,,,,,,,,,22.797516,-39.52696,-17.634693,,,,,,,,,,,,,,,,,,
11815921188314,,,,,,,,,,,,,-15.292358,26.626587,-21.202087,,,,,,,,,,,,,,,
11815941329915,-2.7460632,5.8830414,7.4072266,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815941329915,,,,,,,0.081100464,-0.121398926,0.3500824,,,,,,,,,,,,,,,,,,,,,
11815945999105,,,,0.34043956,0.111121655,0.17023945,,,,,,,,,,,,,,,,,,,,,,,,
11815945999105,,,,,,,,,,22.58899,-39.66276,-17.232141,,,,,,,,,,,,,,,,,,
11815941329915,,,,,,,,,,,,,-15.879822,26.712036,-21.121216,,,,,,,,,,,,,,,
11815961471517,-2.3842316,5.9650116,6.650833,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815961471517,,,,,,,2.1362305E-4,-0.39196777,0.37641907,,,,,,,,,,,,,,,,,,,,,
11815965805013,,,,0.31793976,0.2352004,-0.37600803,,,,,,,,,,,,,,,,,,,,,,,,
11815965805013,,,,,,,,,,22.464874,-39.85106,-16.62108,,,,,,,,,,,,,,,,,,
11815961471517,,,,,,,,,,,,,-14.726257,26.0849,-20.684814,,,,,,,,,,,,,,,
11815968185384,,,,,,,,,,,,,,,,,,,,,,,1023.93726,,,,,,,
11815981613118,-2.5849304,5.488449,6.2309265,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815981613118,,,,,,,-0.21366882,-0.5647888,0.33039856,,,,,,,,,,,,,,,,,,,,,
11815986404378,,,,-0.07865453,-0.41204643,-0.77984333,,,,,,,,,,,,,,,,,,,,,,,,
11815986404378,,,,,,,,,,22.510101,-39.701965,-15.95942,,,,,,,,,,,,,,,,,,
11815981613118,,,,,,,,,,,,,-13.618469,26.548767,-20.930481,,,,,,,,,,,,,,,
11816001754720,-2.6334991,5.0081024,6.8658295,,,,,,,,,,,,,,,,,,,,,,,,,,,
11816001754720,,,,,,,-0.51068115,-0.48936462,0.27391052,,,,,,,,,,,,,,,,,,,,,
11816005386312,,,,-0.15305972,-0.74344397,0.04493618,,,,,,,,,,,,,,,,,,,,,,,,
11816005386312,,,,,,,,,,22.621521,-39.05981,-15.375373,,,,,,,,,,,,,,,,,,
11816001754720,,,,,,,,,,,,,-13.542175,27.383423,-21.44928,,,,,,,,,,,,,,,
11816001754720,,,,,,,,,,,,,,,,,,,,,,,1023.93726,,,,,,,
11816021896321,-2.6750336,5.2128906,9.343231,,,,,,,,,,,,,,,,,,,,,,,,,,,
11816025192220,,,,-0.26300836,-0.31865597,2.6274533,,,,,,,,,,,,,,,,,,,,,,,,
11816025192220,,,,,,,,,,22.724152,-37.906937,-14.906689,,,,,,,,,,,,,,,,,,
11816021896321,,,,,,,-0.63160706,-0.19937134,0.15882874,,,,,,,,,,,,,,,,,,,,,
11816021896321,,,,,,,,,,,,,-14.421082,27.088928,-20.585632,,,,,,,,,,,,,,,
11816035324056,,,,,,,,,,,,,,,,,,,,,,,1023.93726,,,,,,,
11816042037923,-2.541626,5.4019012,9.629761,,,,,,,,,,,,,,,,,,,,,,,,,,,
11816042037923,,,,,,,-0.33776855,0.13902283,-0.003189087,,,,,,,,,,,,,,,,,,,,,
11816045730550,,,,-0.087854624,-0.08842182,2.2803025,,,,,,,,,,,,,,,,,,,,,,,,
11816045730550,,,,,,,,,,22.735016,-37.04962,-14.812485,,,,,,,,,,,,,,,,,,
11816042037923,,,,,,,,,,,,,-14.041138,26.67694,-20.169067,,,,,,,,,,,,,,,
11816062179525,-3.2555542,5.297577,8.877289,,,,,,,,,,,,,,,,,,,,,,,,,,,
